"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Z7",-0.0176768963673509,-0.0310277220824341,-0.0322746046301918,-0.0252028049998468,-0.00613076486146165,-0.0249473341684342,-0.0329128998878734,-0.00714746148746676,-0.00970215359197114,0.00386515107128271,0.0092117636623625,0.00908117821558704,0.0139873009361357,0.00833158488229207,-0.0295169595306476,-0.028792513095891
"Z8",-0.318876115689273,-0.227807643533022,-0.138654572001618,-0.0835767062264313,-0.210397243547837,-0.106598616600867,-0.288422250463737,-0.187900787132565,-0.201046789312288,-0.023169150761661,-0.115248585972748,-0.295506965841726,-0.14514521513561,-0.402480227322468,-0.221010853938735,-0.242531004462388
"Z9",0.0389490589785056,0.191171681367556,-0.0592268992876546,0.00919208435587138,-0.0380370514593646,0.00369566327020761,-0.0086969905854346,0.022634068603277,-0.0471914239705472,0.108961595594568,0.0403595133874,0.0384412457933959,0.138351424298258,0.0307107855909644,-0.0399891475160633,0.0435477262390806
"Z1",-0.00871237473695589,0.00755697552295127,-0.0292048467894716,-0.0138412489707245,0.0327908406448859,-0.0101553084931024,-0.0278957318353989,0.0320578589034234,-0.00643585372597736,0.0521129496756712,0.0286793705082298,0.0050871452687612,0.0456831524990282,-0.00981678481859803,0.01043593827255,-0.00433174339732098
"Z2",0.00949119444085599,-0.014050712704444,0.0417242700302686,0.00943000074688765,-0.0292369352912296,0.0160839906443341,-0.0119411666320826,-0.0411049771219894,-0.00698854823951172,0.000575800237300216,0.0860041318238209,0.0919744285801621,0.0279170074260757,0.0439207562365322,0.111623158040963,0.0194931192131892
"Z3",-0.0011962616569531,0.00260964689730617,-0.00699273905155273,-0.000867018009560503,0.00354468307350724,-0.00342633653679502,0.00110049901044573,0.00747876830723375,0.00331729131956207,-0.00136484854315838,-0.0158278584123486,-0.0166019765388469,-0.00886963080105363,-0.00587207003114197,-0.0215608628665343,-0.0056066228876519
"Z4",0.00660857976235285,0.0197621242609746,0.00174420240381007,0.0225359106296086,-0.0270648060271279,0.000683343187887923,0.0500231495276673,0.0166210722831169,-0.00474505076727753,-0.0309032304313724,-0.0554749736919927,0.00373985697086385,0.0769713945939477,0.0763137925810653,0.0270505777296486,0.0556287495452652
"Z5",0.0121975936312134,0.0058358722885398,-0.00289567712797912,-0.00940132019637314,-0.00109407069925116,-0.0140256102587069,-0.00981391971205723,-0.0240044351550622,-0.00385744690265557,0.00114892936624108,-0.0695771353595447,0.00103445263801773,-0.0382490934341035,0.0545690593360053,-0.0302112255803798,-0.0452710094153393
"Z6",-0.00157318158928084,-0.00460231943185877,-0.00281018562042717,-0.00345262798538846,0.00511354777690596,2.39817000834541e-06,-0.0106643442456175,-0.00154076552197077,0.00156921626951949,0.0065580570548385,0.0141225432872954,-0.00506231362153793,-0.0178178627382443,-0.0145970633297686,-0.0119872182128894,-0.0133351290123355
"Z7",0.00192145114060858,0.00280509339448471,0.00560109451043825,0.00155286312604804,-0.00317102148032857,0.0020466528469098,0.00537687439499262,-0.00396837629853818,0.000575885870877841,-0.00468621252670874,-0.00236904248947741,0.00519130766498412,0.000437537768308351,0.00416531668143792,0.00585024481987001,0.0035695038517489
"Z8",0.0308664358282965,-0.0219615402956411,-0.0430425288667869,-0.0635736948195316,-0.0241160823561501,-0.0458327741736716,-0.0183327791375589,-0.039778635671099,-0.00877677430908497,-0.0736883984982833,-0.0465376177431626,0.0249335847444668,-0.0564483811673359,0.013450285164945,-0.0284991544041032,-0.00141543593761426
"Z9",-0.0207368961918456,-0.0572141593293976,0.0331560002677222,0.0143911313215445,0.0237540706986222,0.0296449196333855,0.0308258329984581,0.0287744588426094,0.0495424828368961,-0.00434482307071575,0.0210419574144409,0.0316518404658364,-0.0158570598182875,0.00604346232235632,0.0367408624907515,0.0185713420449136
"q_1",0.133821477975225,0.0710150205219379,0.0800893493978024,0.0893706983534289,0.0965137267686063,0.078462935801931,0.0666404197034115,0.112847186712579,0.11696855583345,0.113793186019309,0.122985944107281,0.0904529933227735,0.0676439545279019,0.100964138195811,-0.108320306837277,-0.0359382109115735
"q_2",-0.00574238870044637,-0.0015357677478723,0.00388830286501684,0.0129869228521805,0.0203938367962791,0.0164112410787375,0.0165559245091729,0.0232904996689155,0.045432053554704,0.0517716084501581,0.0419660569399637,0.0607541689175067,0.0667666321935486,0.0748530681007018,0.0906454861478701,0.079420565814087
"q_3",-0.0386072275905907,-0.0366135662258379,-0.0331519116482852,-0.0396798446845515,-0.0360248029174238,-0.0301611535404721,-0.026597703130126,-0.0327642338417207,-0.0232795774390313,-0.0262747996441772,-0.0191526290177615,-0.00447257825832655,0.00852330021123971,0.00905188484747427,0.00498446170939146,0.011411449420459
"q_4",0.000855853663015766,0.0177734335643923,0.00362180219639905,0.0165893175781527,0.0276560214066965,0.0124825351446416,0.0200689689584442,0.0183737830513351,0.0168716935549852,0.0118370711077235,0.0250344679460415,0.0429528397825959,0.0386095831007761,0.0374283852432246,0.0142127830717661,-0.0161420123422508
"q_5",0.00143835130223259,0.00550126873190154,0.00316880886440371,-0.00729464264077236,-0.0127608784258357,-0.00412964326205955,0.0062007484691994,0.00115161646503373,0.0105923015134443,0.00839218192994617,0.0105183780280925,-0.0170039093081853,-0.00521662749709882,-0.019815863965637,-0.030171120545529,-0.0168348008599046
"q_6",0.0146258875662453,0.00972556927008521,0.00896974493593544,0.00979840953917509,0.00926255079368751,0.0073808326993718,0.0078914692680307,0.00695722561601638,0.00684100340117471,0.00887011254332547,0.00572375590642684,0.00761872697720956,0.00700710732692769,0.00799408822189996,0.00971042561232396,0.00612395850639024
